task_id,author_difficulty,in_strict_four_way_86,astra_reward,astra_verify_status,astra_verifier_progress,astra_verifier_tests,astra_verifier_passed,astra_verifier_failed,astra_verifier_skipped,astra_timeout,astra_product_terminal_status,astra_finish_reason,astra_selected_finished_at,astra_selected_trial_path,hermes_reward,hermes_verify_status,hermes_verifier_progress,hermes_verifier_tests,hermes_verifier_passed,hermes_verifier_failed,hermes_verifier_skipped,hermes_timeout,hermes_product_terminal_status,hermes_finish_reason,hermes_selected_finished_at,hermes_selected_trial_path,pi_reward,pi_verify_status,pi_verifier_progress,pi_verifier_tests,pi_verifier_passed,pi_verifier_failed,pi_verifier_skipped,pi_timeout,pi_product_terminal_status,pi_finish_reason,pi_selected_finished_at,pi_selected_trial_path,dsh_reward,dsh_verify_status,dsh_verifier_progress,dsh_verifier_tests,dsh_verifier_passed,dsh_verifier_failed,dsh_verifier_skipped,dsh_timeout,dsh_product_terminal_status,dsh_finish_reason,dsh_selected_finished_at,dsh_selected_trial_path,astra_agent_execution_s,astra_token_input,astra_token_fresh_input,astra_token_cache_read,astra_token_output,astra_token_total,astra_token_accounting_status,astra_token_source,astra_token_is_lower_bound,hermes_agent_execution_s,hermes_token_input,hermes_token_fresh_input,hermes_token_cache_read,hermes_token_output,hermes_token_total,hermes_token_accounting_status,hermes_token_source,hermes_token_is_lower_bound,pi_agent_execution_s,pi_token_input,pi_token_fresh_input,pi_token_cache_read,pi_token_output,pi_token_total,pi_token_accounting_status,pi_token_source,pi_token_is_lower_bound,dsh_agent_execution_s,dsh_token_input,dsh_token_fresh_input,dsh_token_cache_read,dsh_token_output,dsh_token_total,dsh_token_accounting_status,dsh_token_source,dsh_token_is_lower_bound
adaptive-rejection-sampler,medium,true,0,no_pass,0/9,9,0,9,0,true,failed,stream_transport,2026-07-31T09:23:24.017794Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5,1,pass,9/9,9,9,0,0,false,completed,completed,2026-08-03T18:37:05.247917Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-04__02-17-58/adaptive-rejection-sampler__dFTKjCe,0,no_pass,0/9,9,0,9,0,false,completed,length,2026-08-14T04:14:43.906713Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__11-58-55/adaptive-rejection-sampler__vejRNsB,1,pass,9/9,9,9,0,0,false,completed,completed,2026-08-18T04:53:03.687121Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-42-20/adaptive-rejection-sampler__RUgSnkj,2001.840682,476215,86775,389440,12784,488999,session_reconciled,server-context-trace+reconciled-details,True,1099.560374,316010,,,95195,411205,reported,hermes-run.json.usage,,799.119981,1888,,1280,65536,67424,reported_legacy,result.json.agent_result,,570.35831,350148,23492,326656,17157,367305,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
bn-fit-modify,hard,true,1,pass,9/9,9,9,0,0,false,completed,,2026-07-30T06:59:47.190235Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU,1,pass,9/9,9,9,0,0,false,completed,completed,2026-07-30T06:21:01.530569Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-15-09/bn-fit-modify__6YxAGqr,1,pass,9/9,9,9,0,0,false,completed,stop,2026-08-13T16:04:55.047493Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-13__23-57-01/bn-fit-modify__kFLnb83,1,pass,9/9,9,9,0,0,false,completed,completed,2026-08-18T03:04:23.722545Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__10-59-46/bn-fit-modify__3i9HuVR,528.720806,132621,22989,109632,20757,153378,session_reconciled,server-context-trace+reconciled-details,False,292.472715,255385,,,5411,260796,reported,hermes-run.json.usage,,389.054413,201694,,163840,20208,221902,reported_legacy,result.json.agent_result,,231.434902,72471,29271,43200,4620,77091,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
break-filter-js-from-html,medium,true,1,pass,1/1,1,1,0,0,false,completed,,2026-07-29T16:21:13.719657Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g,1,pass,1/1,1,1,0,0,false,completed,completed,2026-07-30T05:49:31.341920Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-38-01/break-filter-js-from-html__MhrC9uW,1,pass,1/1,1,1,0,0,false,completed,stop,2026-08-14T03:51:04.945029Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__11-43-14/break-filter-js-from-html__P6dnUhQ,1,pass,1/1,1,1,0,0,false,completed,completed,2026-08-18T04:37:23.722479Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-32-45/break-filter-js-from-html__CYn4qA2,351.950165,124503,21719,102784,20624,145127,session_reconciled,server-context-trace+reconciled-details,False,639.108818,289602,,,45809,335411,reported,hermes-run.json.usage,,407.561643,162415,,112768,20666,183081,reported_legacy,result.json.agent_result,,236.648265,104832,10880,93952,3849,108681,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
build-cython-ext,medium,true,1,pass,11/11,11,11,0,0,false,completed,,2026-07-30T10:34:51.545883Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV,1,pass,11/11,11,11,0,0,false,completed,completed,2026-07-30T06:47:01.026197Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-23-53/build-cython-ext__6BZKneV,1,pass,11/11,11,11,0,0,false,completed,stop,2026-08-14T04:25:21.076937Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__12-14-45/build-cython-ext__Qxm3gXi,1,pass,11/11,11,11,0,0,false,completed,max_turns,2026-08-18T04:54:56.006688Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-45-29/build-cython-ext__RkQqStK,1108.482934,1233019,111675,1121344,56799,1289818,session_reconciled,server-context-trace+reconciled-details,False,1355.746645,4045450,,,18195,4063645,reported,hermes-run.json.usage,,607.980865,1391635,,1341120,22054,1413689,reported_legacy,result.json.agent_result,,539.167988,814085,27269,786816,5944,820029,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
build-pmars,medium,true,0,no_pass,3/4,4,3,1,0,false,completed,,2026-07-30T08:30:09.328998Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH,1,pass,4/4,4,4,0,0,false,completed,completed,2026-07-30T05:57:32.248369Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-52-02/build-pmars__d5SRCdf,1,pass,4/4,4,4,0,0,false,completed,,2026-08-14T04:34:28.615433Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__12-25-22/build-pmars__uxuxHEL,1,pass,4/4,4,4,0,0,false,completed,completed,2026-08-18T04:56:39.521380Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-48-16/build-pmars__tzaoP2Q,1483.525082,1261503,150399,1111104,75234,1336737,session_reconciled,server-context-trace+reconciled-details,False,295.397617,1012900,,,4845,1017745,reported,hermes-run.json.usage,,511.463025,867889,,823360,15011,882900,reported_legacy,result.json.agent_result,,469.451333,339265,19009,320256,4300,343565,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
build-pov-ray,medium,true,0,no_pass,2/3,3,2,1,0,false,completed,,2026-07-31T08:31:13.987135Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ,0,no_pass,2/3,3,2,1,0,false,completed,completed,2026-07-30T09:34:25.890827Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__16-55-07/build-pov-ray__XX7Q3Gy,1,pass,3/3,3,3,0,0,false,completed,stop,2026-08-13T15:56:59.148620Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-13__23-46-47/build-pov-ray__dN3smjw,0,no_pass,0/3,3,0,3,0,false,completed,max_turns,2026-08-18T03:13:52.732323Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__10-59-43/build-pov-ray__jicsPg9,1514.520246,1765187,168579,1596608,45774,1810961,session_reconciled,server-context-trace+reconciled-details,False,2292.506948,2193399,,,9245,2202644,reported,hermes-run.json.usage,,503.227329,661361,,613568,18301,679662,reported_legacy,result.json.agent_result,,740.52867,527584,52128,475456,6297,533881,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
caffe-cifar-10,medium,true,1,pass,6/6,6,6,0,0,false,failed,budget_exhausted,2026-07-30T12:43:07.694409Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC,0,no_pass,3/6,6,3,3,0,false,completed,completed,2026-07-30T10:49:14.457726Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__17-41-21/caffe-cifar-10__MyMkUd9,1,pass,6/6,6,6,0,0,false,completed,stop,2026-08-13T04:42:56.691142Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-13__11-34-43/caffe-cifar-10__YmkVwdM,0,no_pass,3/6,6,3,3,0,false,completed,max_turns,2026-08-17T11:45:49.208026Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__19-02-43/caffe-cifar-10__ZDrRRFH,4116.922111,1134985,117257,1017728,31036,1166021,session_reconciled,server-context-trace+reconciled-details,False,4029.988712,2426341,,,6896,2433237,reported,hermes-run.json.usage,,3980.929765,1774134,,1597632,43173,1817307,reported_legacy,result.json.agent_result,,2481.237389,385218,20162,365056,4305,389523,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
cancel-async-tasks,hard,true,0,no_pass,5/6,6,5,1,0,false,completed,,2026-08-02T16:09:41.176982Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-05-42/cancel-async-tasks__4fjo42J,0,no_pass,5/6,6,5,1,0,false,completed,completed,2026-07-31T09:29:23.086805Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__17-23-05/cancel-async-tasks__Y5HDrz8,1,pass,6/6,6,6,0,0,false,completed,stop,2026-08-14T04:43:25.554341Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__12-34-30/cancel-async-tasks__HbxBYpj,1,pass,6/6,6,6,0,0,false,completed,completed,2026-08-18T04:55:52.778433Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-53-05/cancel-async-tasks__nGhYLNK,191.912692,52754,9298,43456,13129,65883,session_reconciled,server-context-trace+reconciled-details,False,331.240556,138345,,,17152,155497,reported,hermes-run.json.usage,,491.027472,380353,,330112,27987,408340,reported_legacy,result.json.agent_result,,103.051782,14377,5929,8448,2815,17192,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
chess-best-move,medium,true,0,no_pass,0/1,1,0,1,0,true,failed,stream_transport,2026-07-29T16:09:32.848875Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33,1,pass,1/1,1,1,0,0,false,completed,completed,2026-07-30T07:18:13.625940Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-02-59/chess-best-move__oL3Bfm6,1,pass,1/1,1,1,0,0,false,completed,stop,2026-08-14T04:48:49.796634Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__12-37-58/chess-best-move__PFbXhqb,0,no_pass,0/1,1,0,1,0,false,completed,completed,2026-08-18T05:03:48.417410Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-54-57/chess-best-move__TwZ7ShB,841.190291,73893,13221,60672,6143,80036,session_reconciled,server-context-trace+reconciled-details,True,855.440141,299500,,,21337,320837,reported,hermes-run.json.usage,,605.648982,541146,,486208,38210,579356,reported_legacy,result.json.agent_result,,496.004952,496436,40692,455744,20458,516894,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
circuit-fibsqrt,hard,true,0,no_pass,2/3,3,2,1,0,true,failed,stream_transport,2026-08-03T03:35:28.468177Z,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-07-37/circuit-fibsqrt__bCZJk4C,0,no_pass,2/3,3,2,1,0,false,completed,completed,2026-07-31T10:09:34.925683Z,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__17-32-25/circuit-fibsqrt__RUV5FPD,0,no_pass,2/3,3,2,1,0,false,completed,length,2026-08-13T16:20:39.487079Z,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__00-04-57/circuit-fibsqrt__rq4ttd3,0,no_pass,2/3,3,2,1,0,false,completed,max_turns,2026-08-18T08:15:31.029533Z,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__15-44-38/circuit-fibsqrt__x5iUrEg,1628.461421,353367,63511,289856,13982,367349,server_reconciled,matrixone.agent_events.llm_response,True,2173.147666,15738,,,177,15915,reported,hermes-run.json.usage,,890.851346,5779,,2816,65574,71353,reported_legacy,result.json.agent_result,,1818.258219,1926742,85590,1841152,46450,1973192,reported_metadata,result.json.agent_result.metadata.dsh_usage,false
