comparison_scope,task_id,author_difficulty,verified_product_count,in_strict_three_way_83,product,attempt_count_for_task,selected_source_root,selected_run_dir,selected_trial_name,selected_trial_path,selected_finished_at,reward,verify_status,normal_e2e_pass,pass_after_timeout,timeout,outcome_bucket,product_terminal_status,product_return_code,product_completion_claim,product_run_state_field,product_run_state,product_error_field,product_error,exception_type,interruption_or_stop_reason,timeout_types,timeout_evidence,stream_transport_failure_classification,stream_transport_interruption_count,gateway_response_truncated_count,gateway_balance_error_line_count,e2e_s,environment_setup_s,agent_setup_s,agent_execution_s,verifier_s,tool_calls_field,tool_calls,tool_calls_failed,tool_call_failure_rate,tool_call_duration_s,tool_breakdown,failed_tool_breakdown,turn_metric_name,turn_metric_value,model_activity_observed,token_input,token_fresh_input,token_cache_read,token_cache_creation,token_cache_reported,token_output,token_total,token_known_minimum,token_source,token_accounting_status,token_accounting_scope_or_note,token_sources_consistent,token_is_lower_bound,token_accounting_note,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,failed_test_names,product_version,model_api_id,model_provider,temperature,configured_max_turns,observed_max_agent_turns_product,observed_tasks_gt_50_product,product_execution_budget
strict_three_way_83,adaptive-rejection-sampler,medium,3,true,Astra,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-07-31__16-47-36,adaptive-rejection-sampler__zWvbxZ5,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5,2026-07-31T09:23:24.017794Z,0,no_pass,false,false,true,timeout_no_pass,failed,3,False,astra_final_state,,product_error_type,,,stream_transport,"[""llm_request_timeout""]","[""journal stream_transport: Error: stream transport failed; non-stream recovery failed: [network] LLM fallback request failed (timeout 120s): error sending request for url (https://open.bigmodel.cn/api/paas/v4/chat/completions)"",""stderr contains explicit LLM fallback request timeout""]",stream_transport_retry_exhausted,3,,,2146.993392,1.218243,75.06478,2001.840682,54.41621,tool_calls_terminal,44,3,0.06818181818181818,7.628999999999999,"{""bash"":25,""git"":1,""introspect"":5,""read_file"":2,""reflect"":4,""task_board"":7}","{""bash"":2,""git"":1}",agentic_steps,35,True,476215,86775,389440,0,,12784,488999,488999,server-context-trace+reconciled-details,session_reconciled,session_wide_observed,True,True,main_agent_only_excludes_intent_judge,9,0,9,0,test_outputs.py::test_ars_function_exists; test_outputs.py::test_can_generate_standard_distribution_samples; test_outputs.py::test_has_test_function; test_outputs.py::test_formal_testing_with_known_truth; test_outputs.py::test_sample_files_generated; test_outputs.py::test_implementation_is_modular; test_outputs.py::test_implementation_handles_errors; test_outputs.py::test_input_validation_functionality; test_outputs.py::test_log_concavity_functionality,v0.0.5-4-g844473c68,c5bde5de-9805-48d4-a016-1db6e6018fc4,BigModel/OpenAI-compatible,0,50,,,2x_dataset_agent_timeout_sec
strict_three_way_83,adaptive-rejection-sampler,medium,3,true,Hermes,2,,2026-08-04__02-17-58,adaptive-rejection-sampler__dFTKjCe,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-04__02-17-58/adaptive-rejection-sampler__dFTKjCe,2026-08-03T18:37:05.247917Z,1,pass,true,false,false,normal_e2e_pass,completed,0,True,run_status,completed,run_error,,,,,,,,0,0,1146.578578,1.289348,5.019608,1099.560374,28.05684,tool_calls,13,0,0.0,306.77000000000004,"{""patch"": 2, ""terminal"": 10, ""write_file"": 1}",{},session_messages,27,True,316010,,,,,95195,411205,,hermes-run.json.usage,reported,reported_hermes_run_usage,True,,reported_hermes_run_usage,9,9,0,0,,v2026.7.20,zai/glm-5.2,Z.AI,0,90,47,0,2x_dataset_agent_timeout_sec
strict_three_way_83,adaptive-rejection-sampler,medium,3,true,PI,2,,2026-08-14__11-58-55,adaptive-rejection-sampler__vejRNsB,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__11-58-55/adaptive-rejection-sampler__vejRNsB,2026-08-14T04:14:43.906713Z,0,no_pass,false,false,false,completed_no_pass,completed,0,True,pi_final_stop_reason,length,,,,length,,,,,,0,948.321257,1.116297,79.158234,799.119981,56.639471,tool_calls,0,0,0.0,,{},{},assistant_messages,1,True,1888,,,,1280,65536,68704,,result.json.agent_result,reported,reported_input_plus_cache_plus_output,,,reported_input_plus_cache_plus_output,9,0,9,0,test_outputs.py::test_ars_function_exists; test_outputs.py::test_can_generate_standard_distribution_samples; test_outputs.py::test_has_test_function; test_outputs.py::test_formal_testing_with_known_truth; test_outputs.py::test_sample_files_generated; test_outputs.py::test_implementation_is_modular; test_outputs.py::test_implementation_handles_errors; test_outputs.py::test_input_validation_functionality; test_outputs.py::test_log_concavity_functionality,0.73.1,zai/glm-5.2,Z.AI,0,,122,9,2x_dataset_agent_timeout_sec
strict_three_way_83,bn-fit-modify,hard,3,true,Astra,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,bn-fit-modify__JvHn3xU,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU,2026-07-30T06:59:47.190235Z,1,pass,true,false,false,normal_e2e_pass,completed,0,True,astra_final_state,completed,product_error_type,,,,[],[],,0,,,607.567288,2.850332,3.284407,528.720806,55.890266,tool_calls_terminal,10,1,0.1,71.742,"{""bash"":10}","{""bash"":1}",agentic_steps,11,True,132621,22989,109632,0,,20757,153378,153378,server-context-trace+reconciled-details,session_reconciled,session_wide_observed,True,False,main_agent_only_excludes_intent_judge,9,9,0,0,,v0.0.5-4-g844473c68,c5bde5de-9805-48d4-a016-1db6e6018fc4,BigModel/OpenAI-compatible,0,50,,,2x_dataset_agent_timeout_sec
strict_three_way_83,bn-fit-modify,hard,3,true,Hermes,1,,2026-07-30__14-15-09,bn-fit-modify__6YxAGqr,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-15-09/bn-fit-modify__6YxAGqr,2026-07-30T06:21:01.530569Z,1,pass,true,false,false,normal_e2e_pass,completed,0,True,run_status,completed,run_error,,,,,,,,0,0,351.329184,2.174727,5.779573,292.472715,37.060617,tool_calls,12,3,0.25,101.282,"{""execute_code"": 1, ""read_file"": 1, ""terminal"": 10}","{""execute_code"": 1, ""terminal"": 2}",session_messages,26,True,255385,,,,,5411,260796,,hermes-run.json.usage,reported,reported_hermes_run_usage,True,,reported_hermes_run_usage,9,9,0,0,,v2026.7.20,zai/glm-5.2,Z.AI,0,90,47,0,2x_dataset_agent_timeout_sec
strict_three_way_83,bn-fit-modify,hard,3,true,PI,1,,2026-08-13__23-57-01,bn-fit-modify__kFLnb83,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-13__23-57-01/bn-fit-modify__kFLnb83,2026-08-13T16:04:55.047493Z,1,pass,true,false,false,normal_e2e_pass,completed,0,True,pi_final_stop_reason,stop,,,,stop,,,,,,0,473.402429,1.06343,3.655285,389.054413,67.254014,tool_calls,19,2,0.10526315789473684,,"{""bash"": 18, ""write"": 1}","{""bash"": 2}",assistant_messages,17,True,201694,,,,163840,20208,385742,,result.json.agent_result,reported,reported_input_plus_cache_plus_output,,,reported_input_plus_cache_plus_output,9,9,0,0,,0.73.1,zai/glm-5.2,Z.AI,0,,122,9,2x_dataset_agent_timeout_sec
strict_three_way_83,break-filter-js-from-html,medium,3,true,Astra,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,break-filter-js-from-html__pcDUN5g,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g,2026-07-29T16:21:13.719657Z,1,pass,true,false,false,normal_e2e_pass,completed,0,True,astra_final_state,completed,product_error_type,,,,[],[],,0,,,408.125461,20.246047,2.97098,351.950165,21.495457,tool_calls_terminal,10,1,0.1,41.567,"{""bash"":7,""read_file"":2,""write_file"":1}","{""bash"":1}",agentic_steps,10,True,124503,21719,102784,0,,20624,145127,145127,server-context-trace+reconciled-details,session_reconciled,session_wide_observed,True,False,main_agent_only_excludes_intent_judge,1,1,0,0,,v0.0.5-4-g844473c68,c5bde5de-9805-48d4-a016-1db6e6018fc4,BigModel/OpenAI-compatible,0,50,,,2x_dataset_agent_timeout_sec
strict_three_way_83,break-filter-js-from-html,medium,3,true,Hermes,1,,2026-07-30__13-38-01,break-filter-js-from-html__MhrC9uW,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-38-01/break-filter-js-from-html__MhrC9uW,2026-07-30T05:49:31.341920Z,1,pass,true,false,false,normal_e2e_pass,completed,0,True,run_status,completed,run_error,,,,,,,,0,0,688.590159,1.50288,14.125622,639.108818,21.532929,tool_calls,17,4,0.23529411764705882,41.121,"{""execute_code"": 2, ""read_file"": 2, ""terminal"": 12, ""write_file"": 1}","{""execute_code"": 2, ""terminal"": 2}",session_messages,33,True,289602,,,,,45809,335411,,hermes-run.json.usage,reported,reported_hermes_run_usage,True,,reported_hermes_run_usage,1,1,0,0,,v2026.7.20,zai/glm-5.2,Z.AI,0,90,47,0,2x_dataset_agent_timeout_sec
strict_three_way_83,break-filter-js-from-html,medium,3,true,PI,2,,2026-08-14__11-43-14,break-filter-js-from-html__P6dnUhQ,/Users/chenyuwei/Documents/MOI benchmark/work/pi-c0-all-jobs/2026-08-14__11-43-14/break-filter-js-from-html__P6dnUhQ,2026-08-14T03:51:04.945029Z,1,pass,true,false,false,normal_e2e_pass,completed,0,True,pi_final_stop_reason,stop,,,,stop,,,,,,0,469.581832,1.216342,4.180525,407.561643,43.508381,tool_calls,12,0,0.0,,"{""bash"": 9, ""read"": 2, ""write"": 1}",{},assistant_messages,11,True,162415,,,,112768,20666,295849,,result.json.agent_result,reported,reported_input_plus_cache_plus_output,,,reported_input_plus_cache_plus_output,1,1,0,0,,0.73.1,zai/glm-5.2,Z.AI,0,,122,9,2x_dataset_agent_timeout_sec
strict_three_way_83,build-cython-ext,medium,3,true,Astra,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,build-cython-ext__3aBh2uV,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV,2026-07-30T10:34:51.545883Z,1,pass,true,false,false,normal_e2e_pass,completed,0,True,astra_final_state,completed,product_error_type,,,,[],[],,0,,,1138.804158,1.593728,4.600837,1108.482934,11.402516,tool_calls_terminal,62,1,0.016129032258064516,160.06900000000002,"{""bash"":29,""grep"":10,""list_dir"":3,""read_file"":18,""str_replace"":2}","{""bash"":1}",agentic_steps,42,True,1233019,111675,1121344,0,,56799,1289818,1289818,server-context-trace+reconciled-details,session_reconciled,session_wide_observed,True,False,main_agent_only_excludes_intent_judge,11,11,0,0,,v0.0.5-4-g844473c68,c5bde5de-9805-48d4-a016-1db6e6018fc4,BigModel/OpenAI-compatible,0,50,,,2x_dataset_agent_timeout_sec
