task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path,metric_source,token_coverage,model_count_semantics,tool_count_semantics,session_id,formal_score_eligible,selection_policy,exception_type,total_tokens,post_agent_model_responses,post_agent_observed_tokens,token_source,tool_source
adaptive-rejection-sampler,Medium,1.0,passed,9,9,timeout,timeout,14,14,153028,439808,0,39001,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-11-24-710949__adaptive-rejection-sampler/adaptive-rejection-sampler__g6sMEwA/old/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-11-24-710949__adaptive-rejection-sampler/adaptive-rejection-sampler__g6sMEwA/old/astra_runtime/inference_invocations.jsonl,907.443949,40.25132,1034.954601,2026-09-09T16:28:40.978131Z,2,adaptive-rejection-sampler__g6sMEwA,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-11-24-710949__adaptive-rejection-sampler/adaptive-rejection-sampler__g6sMEwA/result.json,database_export,observed_primary_invocations_lower_bound,succeeded_primary_invocations,deduplicated_run_id_tool_call_id,5ae6323d-6b23-4966-9ae9-cbf80240fbec,False,latest_run_by_job_timestamp,,631837,21,1041210,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-11-24-710949__adaptive-rejection-sampler/adaptive-rejection-sampler__g6sMEwA/old/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-11-24-710949__adaptive-rejection-sampler/adaptive-rejection-sampler__g6sMEwA/old/astra_runtime/inference_invocations.jsonl,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-11-24-710949__adaptive-rejection-sampler/adaptive-rejection-sampler__g6sMEwA/old/astra_runtime/agent_run_events.jsonl
bn-fit-modify,Hard,1.0,passed,9,9,completed,completed,23,22,57265,897152,0,8284,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-14-30-636942__bn-fit-modify/bn-fit-modify__sCeVpnZ/agent/session.jsonl,362.151912,63.913027,452.564771,2026-09-10T16:22:04.220823Z,2,bn-fit-modify__sCeVpnZ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-14-30-636942__bn-fit-modify/bn-fit-modify__sCeVpnZ/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,074aad46-12a0-477b-a37d-2daaa54501b2,False,latest_run_by_job_timestamp,,962701,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-14-30-636942__bn-fit-modify/bn-fit-modify__sCeVpnZ/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__16-14-30-636942__bn-fit-modify/bn-fit-modify__sCeVpnZ/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-14-30-636942__bn-fit-modify/bn-fit-modify__sCeVpnZ/agent/session.jsonl
break-filter-js-from-html,Medium,1.0,passed,1,1,completed,completed,12,11,42374,392704,0,10087,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__22-18-11-934813__break-filter-js-from-html/break-filter-js-from-html__McaP8UD/agent/session.jsonl,378.064319,38.187904,445.947917,2026-09-09T22:25:39.032799Z,1,break-filter-js-from-html__McaP8UD,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__22-18-11-934813__break-filter-js-from-html/break-filter-js-from-html__McaP8UD/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,712fc7c7-ba7e-4b23-8eea-ba4551ecb6a2,False,latest_run_by_job_timestamp,,445165,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__22-18-11-934813__break-filter-js-from-html/break-filter-js-from-html__McaP8UD/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__22-18-11-934813__break-filter-js-from-html/break-filter-js-from-html__McaP8UD/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__22-18-11-934813__break-filter-js-from-html/break-filter-js-from-html__McaP8UD/agent/session.jsonl
build-cython-ext,Medium,0.0,failed,10,11,completed,completed,45,58,305198,1856512,0,14592,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/state/environment-retry-20260911/data/work/linux-terminal-bench/astra/jobs/2026-09-11__05-50-36-397168__build-cython-ext/build-cython-ext__vkZsZNW/agent/session.jsonl,748.612676,13.061327,793.514101,2026-09-11T06:03:50.943030Z,1,build-cython-ext__vkZsZNW,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/state/environment-retry-20260911/data/work/linux-terminal-bench/astra/jobs/2026-09-11__05-50-36-397168__build-cython-ext/build-cython-ext__vkZsZNW/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,07886012-e94d-430d-823b-e95ec606e392,False,latest_completed_run_in_environment_retry_20260911,,2176302,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/state/environment-retry-20260911/data/work/linux-terminal-bench/astra/jobs/2026-09-11__05-50-36-397168__build-cython-ext/build-cython-ext__vkZsZNW/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-11__05-50-36-397168__build-cython-ext/build-cython-ext__vkZsZNW/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/state/environment-retry-20260911/data/work/linux-terminal-bench/astra/jobs/2026-09-11__05-50-36-397168__build-cython-ext/build-cython-ext__vkZsZNW/agent/session.jsonl
build-pmars,Medium,1.0,passed,4,4,failed,execution_incomplete,35,39,166879,1308288,0,8353,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-28-47-477907__build-pmars/build-pmars__sMaQ2xS/agent/session.jsonl,519.79826,23.772854,572.998363,2026-09-09T16:38:21.599493Z,1,build-pmars__sMaQ2xS,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-28-47-477907__build-pmars/build-pmars__sMaQ2xS/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,986689d0-3039-43c9-a204-bcfa26192351,False,latest_run_by_job_timestamp,,1483520,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-28-47-477907__build-pmars/build-pmars__sMaQ2xS/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-28-47-477907__build-pmars/build-pmars__sMaQ2xS/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-28-47-477907__build-pmars/build-pmars__sMaQ2xS/agent/session.jsonl
build-pov-ray,Medium,0.0,failed,1,3,completed,completed,33,43,297151,1719104,0,9192,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__19-49-21-621157__build-pov-ray/build-pov-ray__f6EbWxV/agent/session.jsonl,494.910771,44.7641,584.789129,2026-09-10T19:59:07.483818Z,2,build-pov-ray__f6EbWxV,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__19-49-21-621157__build-pov-ray/build-pov-ray__f6EbWxV/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,272cbb1f-fad7-4920-bc24-1e4ef1b2ae02,False,latest_run_by_job_timestamp,,2025447,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__19-49-21-621157__build-pov-ray/build-pov-ray__f6EbWxV/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__19-49-21-621157__build-pov-ray/build-pov-ray__f6EbWxV/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__19-49-21-621157__build-pov-ray/build-pov-ray__f6EbWxV/agent/session.jsonl
caffe-cifar-10,Medium,0.0,failed,2,6,failed,execution_incomplete,47,62,267323,1970560,0,17454,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-11__00-21-25-499103__caffe-cifar-10/caffe-cifar-10__WJdSHXC/agent/session.jsonl,1086.010607,156.524409,1299.382687,2026-09-11T00:43:05.798658Z,2,caffe-cifar-10__WJdSHXC,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-11__00-21-25-499103__caffe-cifar-10/caffe-cifar-10__WJdSHXC/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,e0a5b53a-49a3-4b4c-a59d-7f07168a0e7e,False,latest_run_by_job_timestamp,,2255337,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-11__00-21-25-499103__caffe-cifar-10/caffe-cifar-10__WJdSHXC/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-11__00-21-25-499103__caffe-cifar-10/caffe-cifar-10__WJdSHXC/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-11__00-21-25-499103__caffe-cifar-10/caffe-cifar-10__WJdSHXC/agent/session.jsonl
cancel-async-tasks,Hard,0.0,failed,5,6,completed,completed,7,6,15060,245248,0,3825,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-38-32-095371__cancel-async-tasks/cancel-async-tasks__eZmenqB/agent/session.jsonl,111.336804,35.860954,174.025678,2026-09-09T16:41:27.432356Z,1,cancel-async-tasks__eZmenqB,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-38-32-095371__cancel-async-tasks/cancel-async-tasks__eZmenqB/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,ec24e1c9-a39b-45a2-81ad-b8afb101981f,False,latest_run_by_job_timestamp,,264133,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-38-32-095371__cancel-async-tasks/cancel-async-tasks__eZmenqB/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-38-32-095371__cancel-async-tasks/cancel-async-tasks__eZmenqB/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-38-32-095371__cancel-async-tasks/cancel-async-tasks__eZmenqB/agent/session.jsonl
chess-best-move,Medium,0.0,failed,0,1,timeout,timeout,16,18,146050,547072,0,45751,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-41-32-587590__chess-best-move/chess-best-move__wYftLYN/old/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-41-32-587590__chess-best-move/chess-best-move__wYftLYN/old/astra_runtime/inference_invocations.jsonl,906.917852,29.572006,964.478117,2026-09-09T16:57:38.161655Z,1,chess-best-move__wYftLYN,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-41-32-587590__chess-best-move/chess-best-move__wYftLYN/result.json,database_export,observed_primary_invocations_lower_bound,succeeded_primary_invocations,deduplicated_run_id_tool_call_id,9128770f-7909-4854-a526-ec3915b5f526,False,latest_run_by_job_timestamp,,738873,20,1473202,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-41-32-587590__chess-best-move/chess-best-move__wYftLYN/old/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-41-32-587590__chess-best-move/chess-best-move__wYftLYN/old/astra_runtime/inference_invocations.jsonl,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-41-32-587590__chess-best-move/chess-best-move__wYftLYN/old/astra_runtime/agent_run_events.jsonl
circuit-fibsqrt,Hard,0.0,failed,2,3,timeout,timeout,8,6,66719,244672,0,236373,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__16-22-09-503724__circuit-fibsqrt/circuit-fibsqrt__UuiJmsV/current/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__16-22-09-503724__circuit-fibsqrt/circuit-fibsqrt__UuiJmsV/current/astra_runtime/inference_invocations.jsonl,3606.241832,37.713975,3669.726998,2026-09-10T17:23:20.139948Z,2,circuit-fibsqrt__UuiJmsV,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-22-09-503724__circuit-fibsqrt/circuit-fibsqrt__UuiJmsV/result.json,database_export,observed_primary_invocations_lower_bound,succeeded_primary_invocations,deduplicated_run_id_tool_call_id,7808923b-6f5c-4456-82aa-3bbf9288bf96,False,latest_run_by_job_timestamp,,547764,2,177629,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__16-22-09-503724__circuit-fibsqrt/circuit-fibsqrt__UuiJmsV/current/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__16-22-09-503724__circuit-fibsqrt/circuit-fibsqrt__UuiJmsV/current/astra_runtime/inference_invocations.jsonl,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__16-22-09-503724__circuit-fibsqrt/circuit-fibsqrt__UuiJmsV/current/astra_runtime/agent_run_events.jsonl
